;Datum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Investice;17.10.2024;;;15.11.2024;;;16.12.2024;;;24.01.2025;;;17.02.2025;;;24.03.2025;;;19.04.2025;;;24.05.2025;;;20.06.2025;;;16.07.2025;;
;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR;CZK;USD;EUR
Crypto - Binance;; 1 779,44 USD ;;; 2 365,00 USD ;;;;;;;;;;;;;;;;;;;;;;;;;
Crypto - Anycoin;61 334,89 CZK;;; 82 268,00 CZK ;;; 35 551,64 CZK ;;;35 273,07 CZK;;;32 105,56 CZK;;;28 626,00 CZK;;;26 300,00 CZK;;;33 378,13 CZK;;;31 275,14 CZK;;;35 585,00 CZK;;
Conseq Classic Invest - Realitni fond;149 386,80 CZK;;; 152 932,00 CZK ;;; 156 366,00 CZK ;;;163 901,00 CZK;;;164 148,46 CZK;;;170 798,00 CZK;;;172 218,00 CZK;;;178 604,10 CZK;;;182 626,00 CZK;;;182 627,00 CZK;;
Conseq Horizont Invest - Active Invest dynamicky;170 666,24 CZK;;; 173 201,00 CZK ;;; 179 868,00 CZK ;;;186 969,00 CZK;;;190 709,78 CZK;;;197 812,00 CZK;;;186 876,00 CZK;;;208 100,40 CZK;;;211 402,00 CZK;;;214 156,00 CZK;;
Amundi - CR All-Star selection;179 914,88 CZK;;;188 076,00;;; 193 074,33 CZK ;;;204 869,64 CZK;;;205 446,17 CZK;;;200 349,00 CZK;;;181 511,00 CZK;;;207 011,06 CZK;;;210 472,36 CZK;;;213 395,00 CZK;;
Amundi - Global Disruptive;20 447,10 CZK;;;22 693;;; 24 504,23 CZK ;;;27 164,15 CZK;;;26 931,53 CZK;;;24 853,00 CZK;;;21 448,00 CZK;;;27 083,60 CZK;;;26 941,95 CZK;;;28 806,00 CZK;;
Amundi - Global Silver Age;9 012,20 CZK;;;9 434;;; 10 051,13 CZK ;;;11 073,87 CZK;;;11 060,57 CZK;;;11 249,00 CZK;;;9 957,00 CZK;;;11 997,79 CZK;;;11 725,61 CZK;;;12 679,00 CZK;;
Amundi - B&W European Strategic Autonomy 2028;89 458,82 CZK;;;89 850;;; 90 305,88 CZK ;;;90 007,00 CZK;;;90 831,37 CZK;;;90 980,00 CZK;;;91 082,00 CZK;;;91 929,41 CZK;;;92 470,59 CZK;;;92 839,00 CZK;;
Amundi - B&W European Strategic Autonomy 2028 II;56 049,91 CZK;;;56 403;;; 56 838,10 CZK ;;;56 526,73 CZK;;;57 110,60 CZK;;;57 190,00 CZK;;;57 123,00 CZK;;;57 674,87 CZK;;;58 218,55 CZK;;;58 315,00 CZK;;
Amundi - FUNDS NET ZERO TOP EUROPEAN PLAYER (DIP);10 301,03 CZK;;;10 767;;; 11 808,72 CZK ;;;13 812,46 CZK;;;14 274,90 CZK;;;15 394,00 CZK;;;14 252,00 CZK;;;17 388,86 CZK;;;17 008,02 CZK;;;18 059,00 CZK;;
Trading 212 - ETF pie 1;80 611,00 CZK;;; 81 392,00 CZK ;;;;;;140 397,79 CZK;;;140 211,94 CZK;;;130 332,00 CZK;;;110 777,00 CZK;;;126 827,88 CZK;;;132 762,57 CZK;;;138 435,00 CZK;;
Investbay;;; € 2 140,00 ;;; € 2 140,00 ;;;;;;;;;;;;; 93 075,00 CZK ;;; 97 443,50 CZK ;;; 97 443,50 CZK ;;; 97 443,00 CZK ;;
; 827 182,87 CZK ;;; 867 016,00 CZK ;;; 758 368,03 CZK ;;; 929 994,71 CZK ;;; 932 830,88 CZK ;;; 927 583,00 CZK ;;; 964 619,00 CZK ;;; 1 057 439,60 CZK ;;; 1 072 346,29 CZK ;;; 1 092 339,00 CZK ;;
